City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Muros,ES,54.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
78,Sioux Lookout,CA,39.2,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
79,Serpa,PT,57.2,scattered clouds,37.9458,-7.5975,Casa do Caniço
80,Nanortalik,GL,34.84,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
82,Mont-De-Marsan,FR,55.4,broken clouds,44.0,-0.6667,Le moulin vieux
88,Pisco,PE,70.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
93,Severo-Kurilsk,RU,30.4,broken clouds,50.6789,156.125,Kak Doma
98,Maldonado,UY,69.8,overcast clouds,-34.6667,-54.9167,La Cimarrona
100,Nelson Bay,AU,66.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
105,Mar Del Plata,AR,66.2,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Nikolskoye,RU,37.0,clear sky,59.7035,30.7861,Tourist House - Sablino
112,Port Elizabeth,ZA,64.4,broken clouds,-33.918,25.5701,39 On Nile Guest House
113,Kajaani,FI,30.2,few clouds,64.2273,27.7285,Original Sokos Hotel Valjus
116,Halden,NO,37.0,clear sky,59.1226,11.3871,Clarion Collection Hotel Park
121,Jinchang,CN,47.88,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
122,Mponela,MW,60.8,clear sky,-13.5319,33.7401,Ram's Executive Lodge
123,Iquique,CL,66.2,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
127,Dongsheng,CN,45.41,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
128,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
131,Olga,RU,45.9,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
137,Oktyabrskoye,RU,41.0,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
139,Codrington,AU,52.48,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
140,Narsaq,GL,37.4,scattered clouds,60.9167,-46.05,Hotel Narsaq
141,La Ronge,CA,41.0,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
142,San Jeronimo,PE,51.58,light rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
144,Rio Gallegos,AR,53.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
151,Vestmannaeyjar,IS,37.18,overcast clouds,63.4427,-20.2734,Glamping & Camping
152,Coihaique,CL,48.2,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
154,Paris,FR,48.99,overcast clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
157,Pergamino,AR,68.0,light rain,-33.89,-60.5736,Hotel Fachinat
159,Lagoa,PT,59.59,overcast clouds,39.05,-27.9833,Casa Das Faias
160,Plaster Rock,CA,51.8,overcast clouds,46.9065,-67.39,Settler's Inn & Motel
162,Ancud,CL,53.01,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
163,Broome,US,68.0,clear sky,42.2506,-75.833,Chenango Valley State Park
164,Castro,BR,61.88,clear sky,-24.7911,-50.0119,CHACARA BAILLY
166,Prince Rupert,CA,41.0,light snow,54.3161,-130.3201,Crest Hotel
